Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount,Timestamp,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,food_per_guest_ratio
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,2024-01-01 00:00:00.000000000,2024,1,1,0,0,1,1.4516129032258065
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,2024-01-01 05:52:39.183673344,2024,1,1,0,0,1,1.25
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,2024-01-01 11:45:18.367346944,2024,1,1,0,0,1,1.228476821192053
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,2024-01-01 23:30:36.734693888,2024,1,1,0,0,1,1.3333333333333333
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,2024-01-02 05:23:15.918367232,2024,1,2,1,0,1,1.228476821192053
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,2024-01-02 17:08:34.285714176,2024,1,2,1,0,1,1.3333333333333333
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,2024-01-02 23:01:13.469387776,2024,1,2,1,0,1,1.25
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,2024-01-03 04:53:52.653061120,2024,1,3,2,0,1,1.25
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,2024-01-03 10:46:31.836734720,2024,1,3,2,0,1,1.25
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,2024-01-03 16:39:11.020408064,2024,1,3,2,0,1,1.228476821192053
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,2024-01-03 22:31:50.204081664,2024,1,3,2,0,1,1.25
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,2024-01-04 04:24:29.387755008,2024,1,4,3,0,1,1.4
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,2024-01-04 10:17:08.571428608,2024,1,4,3,0,1,1.4719101123595506
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,2024-01-04 16:09:47.755101952,2024,1,4,3,0,1,1.2857142857142858
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,2024-01-04 22:02:26.938775552,2024,1,4,3,0,1,1.3333333333333333
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,2024-01-05 03:55:06.122448896,2024,1,5,4,0,1,1.3157894736842106
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,2024-01-05 09:47:45.306122496,2024,1,5,4,0,1,1.5
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,2024-01-05 15:40:24.489795840,2024,1,5,4,0,1,1.3636363636363635
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,2024-01-06 03:25:42.857142784,2024,1,6,5,1,1,1.3636363636363635
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,2024-01-06 09:18:22.040816384,2024,1,6,5,1,1,1.2857142857142858
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,2024-01-06 15:11:01.224489728,2024,1,6,5,1,1,1.25
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,2024-01-06 21:03:40.408163328,2024,1,6,5,1,1,1.25
Fruits,400,Wedding,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,2024-01-07 02:56:19.591836672,2024,1,7,6,1,1,1.25
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,2024-01-07 08:48:58.775510272,2024,1,7,6,1,1,1.25
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,2024-01-07 14:41:37.959183616,2024,1,7,6,1,1,1.25
Meat,208,Wedding,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22,2024-01-07 20:34:17.142857216,2024,1,7,6,1,1,1.3557692307692308
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,2024-01-08 02:26:56.326530560,2024,1,8,0,0,1,1.25
Meat,438,Corporate,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35,2024-01-08 14:12:14.693877504,2024,1,8,0,0,1,1.1255707762557077
