quantity_sold,price_diff,leftover,restaurant_type,meal_type,menu_item_name,has_promotion,special_event,weather_condition
361,1.8900000000000006,0.0,3,2,7,0,0,2
503,0.43999999999999995,0.0,3,1,10,0,0,2
262,15.240000000000002,24.000400000000013,2,2,11,0,0,1
409,1.92,0.0,3,2,1,0,0,2
236,5.849999999999998,50.00040000000001,3,1,2,0,0,0
176,9.620000000000001,110.00040000000001,3,1,12,0,0,0
237,2.3100000000000023,49.00040000000001,0,2,11,0,0,1
347,4.610000000000001,0.0,3,0,6,0,0,1
270,11.110000000000003,16.000400000000013,1,2,3,0,0,0
278,-0.02999999999999936,8.000400000000013,3,1,1,0,0,0
344,2.960000000000001,0.0,3,1,4,0,0,0
412,0.31000000000000005,0.0,0,1,13,0,0,0
714,0.25,0.0,0,2,5,0,0,2
649,-1.2199999999999998,0.0,0,0,5,1,0,2
625,2.7399999999999993,0.0,3,0,6,0,0,2
315,4.83,0.0,2,0,9,0,0,2
651,0.8199999999999994,0.0,4,0,6,0,0,1
410,-1.08,0.0,3,1,12,1,0,0
73,6.75,213.0004,0,1,8,0,1,0
143,16.18,143.0004,2,1,11,0,0,2
0,14.05,286.0004,3,1,12,0,0,2
294,4.2700000000000005,0.0,1,0,6,0,0,2
356,3.54,0.0,3,0,6,0,0,1
172,5.7700000000000005,114.00040000000001,1,2,1,0,0,1
1,11.310000000000002,285.0004,3,1,0,0,0,2
236,-4.859999999999999,50.00040000000001,0,1,3,1,0,0
389,3.4299999999999997,0.0,1,0,6,0,0,0
190,2.21,96.00040000000001,3,1,1,0,0,2
186,3.7399999999999998,100.00040000000001,3,1,1,0,0,1
30,14.200000000000001,256.0004,2,1,8,0,0,2
711,-0.029999999999999805,0.0,3,1,10,1,0,2
238,-2.58,48.00040000000001,2,2,9,1,0,2
20,7.639999999999999,266.0004,0,2,8,0,0,2
350,2.3600000000000003,0.0,3,2,9,0,0,2
301,0.3200000000000003,0.0,3,1,10,0,0,2
126,15.499999999999993,160.0004,2,1,0,0,0,0
12,7.299999999999997,274.0004,0,1,11,0,0,2
385,0.3500000000000001,0.0,0,2,13,0,0,0
353,0.39999999999999947,0.0,3,2,1,0,0,0
318,-3.9799999999999986,0.0,3,1,12,1,0,2
